2 Raters;4 Raters;6 Raters;8 Raters;10 Raters
-0.99;-0.335773864689527;-0.198005479514581;-0.146662539071407;-0.110545590532335
-0.991361126551552;-0.330056504223662;-0.201371688885641;-0.142681657599111;-0.12622979559167
-0.995600718599688;-0.330227096485347;-0.198745361040771;-0.141456314474176;-0.112143675007868
-0.997124361024589;-0.335644114921223;-0.221982285516931;-0.14143163225968;-0.114662855470465
-0.995600718599688;-0.347251265248854;-0.198084897804079;-0.144678243567528;-0.11100638355788
-1.00049211256967;-0.332784781347197;-0.198209477776576;-0.141792530829294;-0.110007799737929
-0.99081227111103;-0.332566920513385;-0.198022891384391;-0.141539234526438;-0.110801675471968
-0.99;-0.333216080411689;-0.207304562276994;-0.141544047220962;-0.110017284421111
-0.990090512421442;-0.330390856008023;-0.199446363310479;-0.141456153983353;-0.110001860332517
-0.99;-0.334550330876153;-0.201052255817185;-0.144073909588743;-0.110095440751319
-0.99311124344811;-0.337722881169576;-0.20247626903492;-0.152556561742875;-0.110227062631541
-0.990090512421442;-0.330527945758226;-0.199136022764366;-0.141502375971794;-0.110159995789333
-0.99311124344811;-0.333197636939794;-0.199863501372161;-0.154386200205749;-0.115426944955278
-1.02109375;-0.330229753827792;-0.198092703519934;-0.142212700024788;-0.112328439315472
-1.00440716299841;-0.33005716905745;-0.198570054435177;-0.145726831656508;-0.11
-0.995350014991824;-0.337186838676834;-0.203431861605222;-0.141575767639218;-0.110089873943162
-0.992243378126155;-0.332138689535473;-0.198218520288896;-0.149963282847269;-0.118503177771351
-0.999791002474801;-0.344973591873351;-0.202236098647179;-0.143449610323536;-0.113974332339547
-0.990086533416213;-0.33;-0.19814424218736;-0.14145627435147;-0.110857983606125
-0.992243378126155;-0.330524959977442;-0.198484214132096;-0.141441268671151;-0.110093614142392
-0.990090512421442;-0.331106003859682;-0.202889506106254;-0.145358859294838;-0.110031761732778
-0.99081227111103;-0.330492116388818;-0.198023068846155;-0.141509061418246;-0.112380193306186
-0.990365635135614;-0.330536903100578;-0.20057283138316;-0.141537630294931;-0.112611109563281
-0.990094491426671;-0.332976315277054;-0.198362534574772;-0.141431636718316;-0.110744362397626
