2 Raters;3 Raters
0.13;0.3
0.07;0.213333333333333
0.08;0.253333333333333
0.07;0.286666666666667
0.07;0.2
0.11;0.233333333333333
0.04;0.186666666666667
0.04;0.273333333333333
0.15;0.233333333333333
0.05;0.24
0.09;0.153333333333333
0.07;0.173333333333333
0.09;0.186666666666667
0.05;0.173333333333333
0.07;0.166666666666667
0.04;0.146666666666667
0.09;0.166666666666667
0.03;0.133333333333333
0.08;0.16
0.1;0.153333333333333
0.06;0.33
0.06;0.336666666666667
0.05;0.316666666666667
0.04;0.303333333333333
0.07;0.276666666666667
0.07;0.316666666666667
0.08;0.326666666666667
0.13;0.376666666666667
0.04;0.366666666666667
0.1;0.363333333333333
