2 Raters;3 Raters
0.717545583578993;0.371584699453552
0.832551989421806;0.516670034350374
0.798072044647387;0.409796893667861
0.845890032083195;0.406389953368115
0.825329153605016;0.53405017921147
0.746379330320936;0.499282296650718
0.887634105025409;0.545098891545316
0.903351141330743;0.380733481511417
0.665020760857367;0.493244879182606
0.880394278158433;0.45906829488919
0.817821177906622;0.69238683127572
0.860574517065359;0.654243017256716
0.820882088208821;0.627894573092137
0.898789543281457;0.652263374485597
0.860574517065359;0.666577456621616
0.9204;0.707436399217221
0.818706346796234;0.665263534996194
0.940006029544769;0.731537598204265
0.840544871794872;0.680839708236968
0.792708333333333;0.686996495380274
0.912231696559835;0.535028745562502
0.914217975429269;0.533173597155665
0.926367201953674;0.543151698404529
0.943155038206099;0.574806225778222
0.899877812118163;0.615847806569456
0.902770991833601;0.566322635805673
0.887752943664951;0.54695568817836
0.812793979303857;0.472523183563868
0.942564398585757;0.493204721254892
0.858413376022768;0.496493016932394
