2 Raters;3 Raters
0.74;0.4
0.86;0.573333333333333
0.84;0.493333333333333
0.86;0.426666666666667
0.86;0.599999999999999
0.78;0.533333333333333
0.92;0.626666666666666
0.92;0.453333333333333
0.7;0.533333333333333
0.9;0.52
0.82;0.693333333333333
0.86;0.653333333333333
0.82;0.626666666666666
0.9;0.653333333333333
0.86;0.666666666666666
0.92;0.706666666666667
0.82;0.666666666666667
0.94;0.733333333333333
0.84;0.68
0.8;0.693333333333333
0.92;0.56
0.92;0.551111111111111
0.933333333333333;0.577777777777778
0.946666666666667;0.595555555555556
0.906666666666667;0.631111111111112
0.906666666666667;0.577777777777778
0.893333333333333;0.564444444444445
0.826666666666667;0.497777777777778
0.946666666666667;0.511111111111112
0.866666666666667;0.515555555555556
