4 Raters;5 Raters
0.697183333333333;0.71227
0.723683333333333;0.72622
0.722483333333333;0.72389
0.672483333333333;0.69778
0.717833333333333;0.72357
0.685333333333333;0.70479
0.718583333333333;0.72221
0.707283333333333;0.71533
0.717766666666667;0.72422
0.722666666666667;0.7296
0.748966666666667;0.749
0.745466666666667;0.74748
0.73765;0.73848
0.736283333333333;0.73847
0.73865;0.74104
0.739866666666667;0.74195
0.74205;0.74349
0.7429;0.7455
0.745733333333333;0.74655
0.747366666666667;0.74684
0.75;0.74968
0.745583333333333;0.74823
0.74205;0.74175
0.7446;0.74339
0.74925;0.74951
0.74965;0.74962
0.746716666666667;0.74827
0.7438;0.74531
0.745783333333333;0.74625
0.75015;0.74993
