2 Raters;4 Raters;6 Raters;8 Raters;10 Raters
0.52;0.502766666666667;0.505293333333333;0.499942857142857;0.510911111111111
0.5;0.5015;0.499973333333333;0.500135714285714;0.502275555555556
0.503;0.503533333333333;0.500786666666667;0.502985714285714;0.500688888888889
0.5036;0.5241;0.508293333333333;0.501492857142857;0.500595555555556
0.5008;0.5033;0.507453333333333;0.519442857142857;0.500133333333333
0.5012;0.501233333333333;0.50008;0.503792857142857;0.50344
0.5;0.504866666666667;0.499586666666667;0.501621428571429;0.50028
0.4988;0.506433333333333;0.51612;0.500878571428571;0.500351111111111
0.503;0.5006;0.502933333333333;0.503735714285714;0.500431111111111
0.5004;0.5003;0.502146666666667;0.499928571428571;0.506475555555556
0.506;0.5101;0.5;0.521507142857143;0.506955555555555
0.5098;0.503166666666667;0.514426666666667;0.505485714285714;0.506244444444444
0.5024;0.507766666666667;0.500773333333333;0.500414285714286;0.503853333333333
0.504;0.501933333333333;0.508866666666667;0.511185714285714;0.502648888888889
0.5006;0.500266666666667;0.540986666666667;0.5005;0.500515555555556
0.503;0.5049;0.506026666666667;0.500385714285714;0.501017777777778
0.5006;0.500766666666667;0.500106666666667;0.515678571428571;0.506013333333333
0.5024;0.505433333333333;0.505666666666667;0.512778571428571;0.510928888888889
0.5008;0.500433333333333;0.500026666666667;0.5021;0.500346666666667
0.507;0.523066666666667;0.50756;0.505757142857143;0.50164
0.503;0.500766666666667;0.5034;0.502521428571429;0.499982222222222
0.5;0.501433333333333;0.50008;0.5015;0.502297777777778
0.5;0.500966666666667;0.502346666666667;0.499971428571429;0.511808888888889
0.5016;0.500433333333333;0.499986666666667;0.500307142857143;0.499968888888889
0.5016;0.501;0.501266666666667;0.503578571428571;0.503684444444445
0.507;0.500466666666667;0.504586666666667;0.50065;0.506266666666667
0.5012;0.500566666666667;0.500626666666667;0.5;0.50316
0.5072;0.499966666666667;0.503426666666667;0.5003;0.500013333333333
0.4996;0.4998;0.501386666666667;0.500592857142857;0.503511111111111
0.4994;0.499966666666667;0.507053333333333;0.502564285714286;0.499973333333333
0.5032;0.505866666666667;0.51276;0.518485714285714;0.503666666666667
0.505;0.5028;0.50012;0.499985714285714;0.500702222222222
0.5018;0.499933333333333;0.50176;0.513121428571429;0.512448888888889
0.5;0.499966666666667;0.50604;0.500021428571429;0.50368
0.5032;0.5084;0.502573333333333;0.507685714285714;0.511804444444445
0.5;0.509033333333333;0.500093333333333;0.499964285714286;0.502728888888889
0.4992;0.501233333333333;0.517893333333333;0.5091;0.500946666666667
0.5;0.500733333333333;0.503146666666667;0.500985714285714;0.523306666666667
0.499;0.5;0.50264;0.499992857142857;0.503013333333333
0.5024;0.5007;0.50836;0.501357142857143;0.502017777777778
0.5;0.502;0.50604;0.504021428571429;0.511533333333333
0.5024;0.5028;0.500546666666667;0.500192857142857;0.500377777777778
0.5;0.5004;0.500666666666667;0.500164285714286;0.50036
0.504;0.508366666666667;0.504653333333333;0.500178571428571;0.500782222222222
0.52;0.500166666666667;0.504626666666667;0.499957142857143;0.518422222222222
0.5028;0.500166666666667;0.50404;0.500235714285714;0.502426666666667
0.5006;0.500833333333333;0.509306666666667;0.50225;0.500777777777778
0.5;0.501766666666667;0.508413333333333;0.506035714285714;0.503688888888889
0.5042;0.502666666666667;0.500186666666667;0.500742857142857;0.534813333333333
0.5004;0.5;0.511213333333333;0.501942857142857;0.499986666666667
0.506;0.505466666666667;0.511213333333333;0.500214285714286;0.501702222222222
0.5028;0.514433333333333;0.502386666666667;0.502792857142857;0.50096
0.5;0.5089;0.508013333333333;0.502971428571429;0.502
0.5032;0.501233333333333;0.5022;0.505471428571429;0.500017777777778
0.503;0.5004;0.50164;0.500242857142857;0.504035555555555
0.5126;0.504366666666667;0.5076;0.503071428571429;0.507666666666667
0.5028;0.501233333333333;0.503133333333333;0.501907142857143;0.519586666666666
0.5008;0.503166666666667;0.512253333333333;0.50175;0.502857777777778
0.5008;0.499966666666667;0.508773333333333;0.500342857142857;0.503346666666667
0.5084;0.499933333333333;0.503426666666667;0.501092857142857;0.504773333333334
0.5112;0.499866666666667;0.500546666666667;0.499928571428571;0.50004
0.503;0.5001;0.501546666666667;0.501821428571429;0.505586666666667
0.5098;0.506;0.500106666666667;0.5136;0.500377777777778
0.5072;0.504466666666667;0.500146666666667;0.500878571428571;0.500826666666667
0.503;0.504766666666667;0.500786666666667;0.503592857142857;0.500555555555556
0.507;0.508166666666667;0.513306666666667;0.500792857142857;0.502995555555556
0.5006;0.504766666666667;0.505266666666667;0.500835714285714;0.500071111111111
0.5144;0.5;0.50668;0.501914285714286;0.518777777777778
0.5012;0.504;0.503733333333333;0.505221428571429;0.501044444444445
0.5;0.499866666666667;0.512093333333333;0.503592857142857;0.506017777777778
0.509;0.516066666666667;0.516786666666667;0.500242857142857;0.500702222222222
0.5;0.499666666666667;0.501773333333333;0.500021428571429;0.511226666666667
0.5024;0.501966666666667;0.511213333333333;0.500878571428572;0.503146666666667
0.504;0.515133333333333;0.503106666666667;0.50575;0.502026666666667
